,Case,BL_Speed,RD_Speed,rad,BL_Hdg,RD_Hdg,BL_Alt,RD_Alt,maxRange,minErrorTry,RMax,RNez
0,0,742,466,-6,0,67,9775,8311,8.96484375,9.140625,18.984375,8.96484375
1,1,555,686,44,0,71,4850,6002,3.1640625,3.33984375,5.44921875,3.1640625
2,2,532,467,6,0,70,5674,4461,3.8671875,4.04296875,10.8984375,3.8671875
3,3,577,634,-55,0,35,2576,3522,-1.0,0.703125,8.4375,-1.0
4,4,631,645,-7,0,-35,11362,10912,6.328125,6.50390625,10.8984375,6.328125
5,5,683,539,27,0,-25,11147,11108,9.31640625,9.4921875,13.88671875,9.31640625
6,6,518,683,38,0,-58,7507,8495,4.04296875,4.21875,15.29296875,4.04296875
7,7,642,472,14,0,-178,4164,3188,5.80078125,5.9765625,26.71875,5.80078125
8,8,549,605,8,0,7,12953,12412,7.91015625,8.0859375,9.84375,7.91015625
9,9,610,731,-3,0,43,8004,6746,-1.0,0.703125,7.3828125,-1.0
10,10,750,616,48,0,76,2866,2260,3.33984375,3.515625,5.44921875,3.33984375
11,11,661,572,-56,0,-164,8440,8149,6.328125,6.50390625,22.5,6.328125
12,12,486,723,58,0,-139,2756,2806,4.04296875,4.21875,24.78515625,4.04296875
13,13,740,641,56,0,127,2756,1694,3.33984375,3.515625,8.26171875,3.33984375
14,14,499,676,-39,0,-83,6016,6266,2.98828125,3.1640625,7.20703125,2.98828125
15,15,662,678,-29,0,168,4804,3867,5.80078125,5.9765625,30.5859375,5.80078125
16,16,717,541,50,0,-119,4678,5020,4.39453125,4.5703125,25.48828125,4.39453125
17,17,604,534,24,0,152,3159,2356,4.39453125,4.5703125,21.4453125,4.39453125
18,18,695,627,-19,0,42,3968,2464,-1.0,0.703125,6.85546875,-1.0
19,19,728,472,-18,0,-17,4279,3082,4.04296875,4.21875,6.328125,4.04296875
20,20,584,679,-9,0,118,2896,2971,3.8671875,4.04296875,22.67578125,3.8671875
21,21,703,573,34,0,88,4755,5361,4.39453125,4.5703125,9.66796875,4.39453125
22,22,697,705,-52,0,-95,8322,9559,5.9765625,6.15234375,11.953125,5.9765625
23,23,686,655,-43,0,35,9172,10043,6.328125,6.50390625,13.359375,6.328125
24,24,628,725,-11,0,70,11801,10956,6.50390625,6.6796875,20.0390625,6.50390625
25,25,674,724,-52,0,-155,6032,4887,4.5703125,4.74609375,18.80859375,4.5703125
26,26,527,505,17,0,52,13403,13865,11.42578125,11.6015625,15.46875,11.42578125
